block_size,ray_depth,num_spheres,implementation,run_count,openmp_time_s,kernel_time_s,memory_transfer_time_s,total_without_mem_s,total_with_mem_s,throughput_mpixels_sec,speedup_vs_openmp_kernel,speedup_vs_openmp_with_mem
32,50,200,OPENMP,3,657.0206666666667,657.0206666666667,0.0,657.0206666666667,657.0206666666667,0.0006233333333333334,1.0,1.0
64,50,200,OPENMP,3,656.9046666666667,656.9046666666667,0.0,656.9046666666667,656.9046666666667,0.0006236666666666666,1.0,1.0
128,50,200,OPENMP,3,657.188,657.188,0.0,657.188,657.188,0.0006233333333333334,1.0,1.0
256,5,200,OPENMP,3,641.7933333333332,641.7933333333332,0.0,641.7933333333332,641.7933333333332,0.0006383333333333333,1.0,1.0
256,10,200,OPENMP,3,652.112,652.112,0.0,652.112,652.112,0.000628,1.0,1.0
256,25,200,OPENMP,3,656.254,656.254,0.0,656.254,656.254,0.000624,1.0,1.0
256,50,50,OPENMP,3,193.67066666666665,193.67066666666665,0.0,193.67066666666665,193.67066666666665,0.002116,1.0,1.0
256,50,100,OPENMP,3,362.32766666666674,362.32766666666674,0.0,362.32766666666674,362.32766666666674,0.001131,1.0,1.0
256,50,200,OPENMP,9,658.0836666666667,658.0836666666667,0.0,658.0836666666667,658.0836666666667,0.0006223333333333334,1.0,1.0
256,50,203,OPENMP,6,666.2165,666.2165,0.0,666.2165,666.2165,0.0006148333333333332,1.0,1.0
256,75,200,OPENMP,3,656.927,656.927,0.0,656.927,656.927,0.0006236666666666666,1.0,1.0
256,100,200,OPENMP,3,656.6933333333333,656.6933333333333,0.0,656.6933333333333,656.6933333333333,0.0006236666666666666,1.0,1.0
512,50,200,OPENMP,3,658.5980000000001,658.5980000000001,0.0,658.5980000000001,658.5980000000001,0.0006216666666666666,1.0,1.0
1024,50,200,OPENMP,3,658.6603333333333,658.6603333333333,0.0,658.6603333333333,658.6603333333333,0.000622,1.0,1.0
