epoch,train_loss,train_acc,test_acc
1,0.554898,86.205,90.03
2,0.365524,89.7817,90.84
3,0.336366,90.5383,91.28
4,0.321179,90.9283,91.34
5,0.311523,91.2267,91.59
6,0.304635,91.4333,91.71
7,0.299358,91.5367,91.82
8,0.295102,91.6317,91.94
9,0.291561,91.7783,92.01
10,0.288686,91.875,91.88
11,0.286155,91.975,92.11
12,0.283803,92.0167,92.03
13,0.282041,92.0517,92.02
14,0.279886,92.1533,91.96
15,0.278328,92.2367,92.14
16,0.277051,92.3067,92.05
17,0.2756,92.3133,92.17
18,0.2745,92.2983,92.03
19,0.273082,92.4133,92.18
20,0.272204,92.3567,92.17
21,0.271179,92.44,92.12
22,0.270284,92.4617,92.19
23,0.269244,92.4883,92.13
24,0.268514,92.5117,92.2
25,0.267637,92.5733,92.24
26,0.266959,92.5917,92.31
27,0.266196,92.6233,92.15
28,0.265542,92.6067,92.24
29,0.264801,92.6083,92.23
30,0.264378,92.6933,92.34
31,0.263646,92.67,92.32
32,0.263018,92.6517,92.39
33,0.262502,92.6983,92.27
34,0.262023,92.7133,92.25
35,0.261464,92.7467,92.36
36,0.260842,92.8283,92.34
37,0.26031,92.81,92.25
38,0.260031,92.7417,92.37
39,0.259511,92.7667,92.22
40,0.259127,92.87,92.51
41,0.258724,92.8317,92.39
42,0.258344,92.8483,92.53
43,0.257749,92.8917,92.41
44,0.257457,92.8833,92.28
45,0.257178,92.91,92.41
46,0.256673,92.9267,92.45
47,0.256534,92.8983,92.51
