data_distribution,num_processes,speedup_mean,speedup_std,fed_time_mean_s,epochs_to_80_mean,n_reps
label_shard_noniid,3,0.7446,0.0009,38.820,3.00,3
label_shard_noniid,5,1.3343,0.0024,21.664,8.67,3
label_shard_noniid,7,1.7199,0.0860,16.850,33.00,3
label_shard_noniid,9,1.7936,0.0048,16.116,25.33,3
label_shard_noniid,13,2.5420,0.1659,11.423,6.00,3
label_shard_noniid,16,2.8789,0.0681,10.046,8.00,3
