round,loss,train_acc
1,0.0980323,97.2822
2,0.0911402,97.4902
3,0.087696,97.5423
4,0.0860304,97.7113
5,0.104658,97.2042
6,0.102189,97.3559
7,0.0996129,97.4859
8,0.097571,97.746
9,0.097892,97.4859
10,0.0937554,97.5943
11,0.0922836,97.6593
12,0.0904791,97.746
13,0.0884801,97.6376
14,0.0875925,97.8544
15,0.087228,97.8327
16,0.0848029,97.941
17,0.084576,97.8327
18,0.0828459,97.9627
19,0.0814573,98.2228
20,0.0823999,97.8327
21,0.0815256,97.9844
22,0.0829049,98.2445
23,0.0800201,98.1361
24,0.0837271,98.1795
25,0.0767727,98.0277
26,0.0770767,98.1795
27,0.0766103,98.1144
28,0.0784926,98.1795
29,0.0772016,98.0928
30,0.0751352,98.1361
31,0.0757223,98.1361
32,0.0752541,98.2228
33,0.0738655,98.3745
34,0.0726109,98.3962
35,0.0741958,98.3962
36,0.0723682,98.2878
37,0.0717841,98.3312
38,0.0718869,98.2661
39,0.073167,98.3095
40,0.0745307,98.2878
41,0.071425,98.3095
42,0.0715751,98.3095
43,0.0714733,98.2878
44,0.0709865,98.3528
45,0.0698424,98.5046
46,0.0700516,98.4179
47,0.0694508,98.2661
48,0.0688595,98.4179
49,0.068871,98.5046
50,0.0681194,98.5262
51,0.0700023,98.4612
52,0.0678351,98.5479
53,0.0786185,98.3528
54,0.0668219,98.4395
55,0.0670797,98.5479
56,0.0672105,98.4179
57,0.0665922,98.3745
