sweep_id,date_time,max_spheres,ray_depth,num_spheres,block_size,implementation,openmp_time_s,kernel_time_s,memory_transfer_time_s,total_without_mem_s,total_with_mem_s,throughput_mpixels_sec,speedup_vs_openmp_kernel,speedup_vs_openmp_with_mem
2,2026-05-18_11-25-10,512,50,200,32,OPENMP,656.390,656.390,0.000,656.390,656.390,0.000624,1.000000,1.000000
2,2026-05-18_11-25-10,512,50,200,32,GLOBAL,656.390,0.000,0.000,0.000,0.000,0.000000,0.000000,0.000000
2,2026-05-18_11-25-10,512,50,200,32,CONSTANT,656.390,0.000,0.000,0.000,0.000,0.000000,0.000000,0.000000
2,2026-05-18_11-25-10,512,50,200,32,SHARED,656.390,0.000,0.000,0.000,0.000,0.000000,0.000000,0.000000
2,2026-05-18_11-25-10,512,50,200,32,1D TEXTURE,656.390,0.000,0.000,0.000,0.000,0.000000,0.000000,0.000000
2,2026-05-18_11-25-10,512,50,200,32,2D TEXTURE,656.390,0.000,0.000,0.000,0.000,0.000000,0.000000,0.000000
2,2026-05-18_11-25-10,512,50,200,32,2D TEXTURE + CONSTANT,656.390,0.000,0.000,0.000,0.000,0.000000,0.000000,0.000000
2,2026-05-18_11-25-10,512,50,200,32,REALISTIC,656.390,0.000,0.000,0.000,0.000,0.000000,0.000000,0.000000
2,2026-05-18_11-36-08,512,50,200,32,OPENMP,656.388,656.388,0.000,656.388,656.388,0.000624,1.000000,1.000000
2,2026-05-18_11-36-08,512,50,200,32,GLOBAL,656.388,0.000,0.000,0.000,0.000,0.000000,0.000000,0.000000
2,2026-05-18_11-36-08,512,50,200,32,CONSTANT,656.388,0.000,0.000,0.000,0.000,0.000000,0.000000,0.000000
2,2026-05-18_11-36-08,512,50,200,32,SHARED,656.388,0.000,0.000,0.000,0.000,0.000000,0.000000,0.000000
2,2026-05-18_11-36-08,512,50,200,32,1D TEXTURE,656.388,0.000,0.000,0.000,0.000,0.000000,0.000000,0.000000
2,2026-05-18_11-36-08,512,50,200,32,2D TEXTURE,656.388,0.000,0.000,0.000,0.000,0.000000,0.000000,0.000000
2,2026-05-18_11-36-08,512,50,200,32,2D TEXTURE + CONSTANT,656.388,0.000,0.000,0.000,0.000,0.000000,0.000000,0.000000
2,2026-05-18_11-36-08,512,50,200,32,REALISTIC,656.388,0.000,0.000,0.000,0.000,0.000000,0.000000,0.000000
2,2026-05-18_11-47-05,512,50,200,32,OPENMP,658.284,658.284,0.000,658.284,658.284,0.000622,1.000000,1.000000
2,2026-05-18_11-47-05,512,50,200,32,GLOBAL,658.284,0.000,0.000,0.000,0.000,0.000000,0.000000,0.000000
2,2026-05-18_11-47-05,512,50,200,32,CONSTANT,658.284,0.000,0.000,0.000,0.000,0.000000,0.000000,0.000000
2,2026-05-18_11-47-05,512,50,200,32,SHARED,658.284,0.000,0.000,0.000,0.000,0.000000,0.000000,0.000000
2,2026-05-18_11-47-05,512,50,200,32,1D TEXTURE,658.284,0.000,0.000,0.000,0.000,0.000000,0.000000,0.000000
2,2026-05-18_11-47-05,512,50,200,32,2D TEXTURE,658.284,0.000,0.000,0.000,0.000,0.000000,0.000000,0.000000
2,2026-05-18_11-47-05,512,50,200,32,2D TEXTURE + CONSTANT,658.284,0.000,0.000,0.000,0.000,0.000000,0.000000,0.000000
2,2026-05-18_11-47-05,512,50,200,32,REALISTIC,658.284,0.000,0.000,0.000,0.000,0.000000,0.000000,0.000000
2,2026-05-18_11-58-05,512,50,200,64,OPENMP,657.434,657.434,0.000,657.434,657.434,0.000623,1.000000,1.000000
2,2026-05-18_11-58-05,512,50,200,64,GLOBAL,657.434,0.000,0.000,0.000,0.000,0.000000,0.000000,0.000000
2,2026-05-18_11-58-05,512,50,200,64,CONSTANT,657.434,0.000,0.000,0.000,0.000,0.000000,0.000000,0.000000
2,2026-05-18_11-58-05,512,50,200,64,SHARED,657.434,0.000,0.000,0.000,0.000,0.000000,0.000000,0.000000
2,2026-05-18_11-58-05,512,50,200,64,1D TEXTURE,657.434,0.000,0.000,0.000,0.000,0.000000,0.000000,0.000000
2,2026-05-18_11-58-05,512,50,200,64,2D TEXTURE,657.434,0.000,0.000,0.000,0.000,0.000000,0.000000,0.000000
2,2026-05-18_11-58-05,512,50,200,64,2D TEXTURE + CONSTANT,657.434,0.000,0.000,0.000,0.000,0.000000,0.000000,0.000000
2,2026-05-18_11-58-05,512,50,200,64,REALISTIC,657.434,0.000,0.000,0.000,0.000,0.000000,0.000000,0.000000
2,2026-05-18_12-09-03,512,50,200,64,OPENMP,656.668,656.668,0.000,656.668,656.668,0.000624,1.000000,1.000000
