epoch,train_loss,train_acc,test_acc
1,0.102274,96.954,42.84
2,0.0927471,97.2353,60.53
3,0.0873707,97.3897,69.98
4,0.0840731,97.4853,73.58
5,0.0861935,97.4628,76.74
6,0.0846457,97.5189,77.82
7,0.0833443,97.5383,79.06
8,0.0822401,97.5711,79.95
9,0.0815258,97.5817,80.28
10,0.0803885,97.6128,80.36
11,0.0798328,97.63,81.18
12,0.0792277,97.645,80.96
13,0.0786511,97.6439,81.12
14,0.0779499,97.665,82.33
15,0.0774585,97.6972,82.17
16,0.0769427,97.7017,82.24
17,0.076393,97.7256,82.39
18,0.0760874,97.7444,82.43
19,0.0755845,97.7467,82.5
20,0.0753001,97.7589,82.55
21,0.0749751,97.745,82.56
22,0.0746562,97.7839,82.61
23,0.0743936,97.8094,82.96
24,0.0739487,97.8106,83.11
25,0.07355,97.8394,82.98
26,0.073388,97.8111,82.99
27,0.0731594,97.8328,82.87
28,0.0727515,97.8489,83
29,0.0725164,97.8706,83.23
30,0.0723936,97.8439,83.16
31,0.0721014,97.8389,83.61
32,0.0718748,97.8622,83.21
33,0.0715925,97.88,83.23
34,0.0714362,97.8967,83.23
35,0.0712069,97.8967,83.55
36,0.07111,97.88,83.47
37,0.0709094,97.9078,83.54
38,0.0708071,97.9089,83.29
39,0.0705345,97.9194,82.89
40,0.0704587,97.9172,83.24
