round,loss,train_acc
1,0.0165672,99.7003
2,0.0157442,99.8553
3,0.0145695,99.9483
4,0.0137035,99.9587
5,0.0204538,99.9483
6,0.0194986,99.9311
7,0.0190015,99.9483
8,0.0184802,99.9483
9,0.0181309,99.9655
10,0.0186389,99.9655
11,0.017873,99.9311
12,0.0174325,99.9828
13,0.0174718,99.9655
14,0.0175127,99.9139
15,0.0176749,99.8966
16,0.0174248,99.8966
17,0.0173721,99.9139
18,0.0173035,99.8794
19,0.0168503,99.9311
20,0.016845,99.9655
21,0.0170787,99.9311
22,0.016948,99.8966
23,0.0166761,99.9139
24,0.0167574,99.8966
25,0.0167177,99.8794
26,0.0168401,99.8622
27,0.0172226,99.845
28,0.0172781,99.7761
29,0.0166263,99.8794
30,0.0171237,99.8277
31,0.0167176,99.8794
32,0.0168785,99.845
33,0.0167473,99.9311
34,0.0168985,99.8105
35,0.0168384,99.8277
36,0.0170038,99.8105
37,0.0165282,99.8277
38,0.0168409,99.8105
39,0.0171749,99.7933
40,0.0170066,99.7588
41,0.0167278,99.7933
42,0.0165871,99.8622
43,0.0166319,99.8277
44,0.0167891,99.8105
45,0.0166975,99.8277
46,0.0166198,99.8105
