round,loss,train_acc
1,0.0183855,99.6693
2,0.0165703,99.8656
3,0.0155491,99.9173
4,0.0144907,99.9587
5,0.0211914,99.9311
6,0.0203864,99.9483
7,0.0202933,99.9311
8,0.0192929,99.9655
9,0.0201716,99.9139
10,0.0196229,99.9311
11,0.0196723,99.8622
12,0.0192483,99.9311
13,0.0193698,99.8794
14,0.0195793,99.8622
15,0.0192119,99.845
16,0.0187409,99.8966
17,0.0193054,99.8277
18,0.0188031,99.8794
19,0.0195486,99.7416
20,0.0190492,99.8622
21,0.0192999,99.7761
22,0.0196474,99.8105
23,0.0188928,99.845
24,0.0188385,99.8277
25,0.0193143,99.7761
26,0.019045,99.8105
27,0.0194649,99.7933
28,0.0192927,99.7933
29,0.0198011,99.7588
30,0.0191297,99.7933
31,0.0195634,99.7761
32,0.0194897,99.7761
33,0.0196329,99.7588
34,0.0200859,99.7761
35,0.0198555,99.7761
36,0.0192523,99.8105
37,0.0194341,99.6899
38,0.0196871,99.7416
39,0.0193967,99.7416
40,0.0199024,99.7416
41,0.0198759,99.7244
42,0.0197284,99.7933
43,0.0199721,99.7416
44,0.0199854,99.7416
45,0.0195899,99.7588
46,0.0198298,99.7416
