round,loss,train_acc
1,0.0573573,98.9498
2,0.0521032,99.4357
3,0.048595,99.5611
4,0.0454794,99.5768
5,0.0600755,99.5559
6,0.0577792,99.5298
7,0.0542939,99.5559
8,0.0526489,99.5559
9,0.0503795,99.6604
10,0.0495437,99.5559
11,0.0491688,99.5298
12,0.0471647,99.6081
13,0.0462329,99.5298
14,0.0452012,99.6081
15,0.0438944,99.7388
16,0.0442157,99.6081
17,0.0428527,99.582
18,0.0430576,99.5559
19,0.0423292,99.6081
20,0.0428637,99.5037
21,0.0413453,99.6081
22,0.0406721,99.6081
23,0.04096,99.582
24,0.0399296,99.6343
25,0.0397266,99.6081
26,0.0395275,99.6343
27,0.0389935,99.6604
28,0.0390484,99.6604
29,0.0385992,99.582
30,0.0388929,99.6081
31,0.0385765,99.6081
32,0.0375994,99.6604
33,0.0386564,99.5298
34,0.037832,99.4514
35,0.0375131,99.582
36,0.0370726,99.6604
37,0.0377717,99.5559
38,0.037928,99.6343
39,0.0362775,99.6865
40,0.0367535,99.5037
41,0.0365757,99.6081
42,0.0360956,99.6604
43,0.0362794,99.5037
44,0.0360025,99.5037
45,0.0363513,99.6081
46,0.0352786,99.6081
47,0.0359528,99.5298
48,0.0354905,99.582
49,0.0355756,99.582
50,0.0356251,99.6081
