round,loss,train_acc
1,0.0195725,99.6693
2,0.0171423,99.8036
3,0.0159138,99.969
4,0.0146534,99.938
5,0.0226441,99.8622
6,0.0211595,99.9139
7,0.0210876,99.9311
8,0.0209103,99.8966
9,0.0210321,99.8966
10,0.0204438,99.8794
11,0.0211977,99.7761
12,0.0211748,99.7933
13,0.0204369,99.8966
14,0.0205014,99.845
15,0.0206684,99.8277
16,0.0202452,99.845
17,0.0207274,99.8105
18,0.0206064,99.7933
19,0.0206337,99.7588
20,0.0211931,99.7071
21,0.020702,99.8277
22,0.0213024,99.7416
23,0.0213584,99.7588
24,0.0209882,99.7933
25,0.0210387,99.7588
26,0.0217039,99.7244
27,0.0214234,99.7588
28,0.0216207,99.621
29,0.0217794,99.7071
30,0.0212358,99.7761
31,0.021543,99.7588
32,0.0220805,99.6899
33,0.0217124,99.6899
34,0.0217794,99.7761
35,0.0214928,99.7588
36,0.0211442,99.6899
37,0.02191,99.6555
38,0.0218539,99.7588
39,0.0212225,99.7933
40,0.0211965,99.7416
41,0.0221858,99.7416
42,0.0214367,99.7761
43,0.0214471,99.7244
44,0.0220559,99.7416
45,0.021718,99.7588
46,0.0217039,99.7761
47,0.0218338,99.7416
48,0.0221758,99.6899
49,0.0228412,99.6382
50,0.0219795,99.6899
