round,loss,train_acc
1,0.0729557,98.1825
2,0.0685933,98.3205
3,0.0639758,98.6043
4,0.0614045,98.6426
5,0.0753999,98.4918
6,0.0735766,98.479
7,0.0713498,98.5302
8,0.0688806,98.6196
9,0.0676024,98.6708
10,0.0660925,98.6452
11,0.0650982,98.6708
12,0.0638376,98.6963
13,0.0624193,98.773
14,0.0611044,98.7219
15,0.0608444,98.7091
16,0.0597697,98.7219
17,0.0595346,98.7474
18,0.0588006,98.7858
19,0.057958,98.8625
20,0.0578199,98.7858
21,0.0568244,98.8369
22,0.0566083,98.8497
23,0.0560258,98.7858
24,0.0557923,98.773
25,0.0552632,98.888
26,0.0547161,98.888
27,0.0548574,98.9136
28,0.0540172,98.8369
29,0.0546912,98.8369
30,0.0542343,98.7986
31,0.0530688,98.8369
32,0.0532037,98.8753
33,0.0528168,98.9008
34,0.0534786,98.8113
35,0.0525196,98.8369
36,0.0524131,98.9647
37,0.0519906,98.9136
38,0.0518586,98.8753
39,0.0521161,98.8625
40,0.0519546,98.8497
41,0.0510712,98.9264
42,0.0511297,98.888
43,0.0507614,98.9392
44,0.0509752,98.9647
45,0.0506739,98.9136
46,0.0507725,98.9903
47,0.0506354,98.9008
48,0.0498986,98.9392
49,0.0500977,98.9775
50,0.0511626,98.9264
