epoch,train_loss,train_acc,test_acc
1,0.0333713,99.2463,59.84
2,0.0310449,99.4043,75.09
3,0.0292619,99.4877,79.52
4,0.0281223,99.5117,82.04
5,0.0360312,99.4378,83.55
6,0.0350992,99.4517,84.33
7,0.034356,99.46,85
8,0.0337187,99.455,85.46
9,0.0332323,99.4656,85.8
10,0.0326527,99.4572,86.19
11,0.0323143,99.4717,86.49
12,0.0321519,99.4606,86.71
13,0.0317324,99.4783,86.86
14,0.0314215,99.4761,86.98
15,0.0312039,99.47,87.2
16,0.0309502,99.4717,87.39
17,0.0308927,99.4572,87.4
18,0.0306806,99.4683,87.47
19,0.0305407,99.4639,87.62
20,0.0303059,99.4672,87.73
21,0.0302194,99.4644,87.83
22,0.0300356,99.4622,88
23,0.0299538,99.4617,88.06
24,0.0299834,99.4539,88.16
25,0.0297914,99.4611,88.23
26,0.0294947,99.4656,88.25
27,0.0295475,99.47,88.31
28,0.029451,99.4561,88.33
29,0.0293836,99.4711,88.45
30,0.0293644,99.4539,88.51
31,0.0291598,99.4717,88.56
32,0.0291101,99.4706,88.6
33,0.0290157,99.4622,88.65
34,0.0289264,99.4583,88.66
35,0.0288667,99.4622,88.73
36,0.0288006,99.4706,88.76
37,0.0286673,99.4606,88.78
38,0.0286046,99.4606,88.8
39,0.0286993,99.4633,88.86
40,0.0285917,99.4611,88.85
41,0.0285536,99.4628,88.87
42,0.0285191,99.4533,88.91
43,0.0284249,99.4617,88.94
44,0.0283317,99.4611,88.96
45,0.0282883,99.4822,89.02
46,0.028339,99.4606,89.03
47,0.0282012,99.4583,89.07
48,0.0281122,99.4639,89.12
49,0.0281151,99.4783,89.09
50,0.0281155,99.4622,89.08
