block_size,ray_depth,num_spheres,implementation,run_count,openmp_time_s,kernel_time_s,memory_transfer_time_s,total_without_mem_s,total_with_mem_s,throughput_mpixels_sec,speedup_vs_openmp_kernel,speedup_vs_openmp_with_mem
32,50,200,OPENMP,3,656.9156666666667,656.9156666666667,0.0,656.9156666666667,656.9156666666667,0.0006236666666666668,1.0,1.0
32,50,200,GLOBAL,3,656.9156666666667,11.812,0.005666666666666667,11.812,11.817,0.03467733333333333,55.615897,55.590002
32,50,200,CONSTANT,3,656.9156666666667,11.710999999999999,0.04700000000000001,11.710999999999999,11.758333333333333,0.03497566666666666,56.093515,55.87117533333333
32,50,200,SHARED,3,656.9156666666667,16.456333333333333,0.04700000000000001,16.456333333333333,16.503333333333334,0.02489,39.91857266666667,39.80572
32,50,200,1D TEXTURE,3,656.9156666666667,11.764000000000001,0.004333333333333334,11.764000000000001,11.768,0.03481833333333333,55.84191966666666,55.821320333333325
32,50,200,2D TEXTURE,3,656.9156666666667,11.729666666666667,0.008666666666666666,11.729666666666667,11.738333333333335,0.03492033333333333,56.00484633333334,55.964108333333336
32,50,200,2D TEXTURE + CONSTANT,3,656.9156666666667,11.721333333333334,0.05033333333333334,11.721333333333334,11.772,0.034944333333333334,56.043703333333326,55.80437733333333
32,50,200,REALISTIC,3,656.9156666666667,11.826666666666666,0.008666666666666666,11.826666666666666,11.835333333333333,0.03463333333333333,55.54526033333334,55.50508966666666
64,50,200,OPENMP,3,656.1203333333334,656.1203333333334,0.0,656.1203333333334,656.1203333333334,0.0006243333333333334,1.0,1.0
64,50,200,GLOBAL,3,656.1203333333334,11.938333333333333,0.006666666666666667,11.938333333333333,11.945333333333332,0.034308666666666675,54.95793,54.92757
64,50,200,CONSTANT,3,656.1203333333334,11.741666666666667,0.015666666666666666,11.741666666666667,11.757333333333335,0.03488466666666667,55.879896,55.80602666666667
64,50,200,SHARED,3,656.1203333333334,12.967666666666666,0.015666666666666666,12.967666666666666,12.983000000000002,0.03158666666666667,50.59740333333334,50.536819
64,50,200,1D TEXTURE,3,656.1203333333334,11.897999999999998,0.004,11.897999999999998,11.902000000000001,0.034425333333333336,55.144474,55.12553433333334
64,50,200,2D TEXTURE,3,656.1203333333334,11.849000000000002,0.004,11.849000000000002,11.853333333333333,0.03456833333333333,55.373355333333336,55.353690666666665
64,50,200,2D TEXTURE + CONSTANT,3,656.1203333333334,11.748,0.013333333333333334,11.748,11.761666666666665,0.03486566666666666,55.85008066666666,55.785984000000006
64,50,200,REALISTIC,3,656.1203333333334,11.924333333333335,0.004,11.924333333333335,11.928333333333333,0.03434966666666667,55.023267,55.00510500000001
128,50,200,OPENMP,3,656.029,656.029,0.0,656.029,656.029,0.0006243333333333334,1.0,1.0
128,50,200,GLOBAL,3,656.029,12.241666666666665,0.006000000000000001,12.241666666666665,12.247666666666667,0.033458999999999996,53.588966666666664,53.56377833333334
128,50,200,CONSTANT,3,656.029,11.812,0.012666666666666668,11.812,11.824666666666666,0.03467633333333333,55.539203333333326,55.47994666666667
128,50,200,SHARED,3,656.029,12.013,0.012666666666666668,12.013,12.025666666666666,0.03409633333333333,54.60932333333333,54.55205733333333
128,50,200,1D TEXTURE,3,656.029,12.215333333333334,0.004,12.215333333333334,12.219333333333333,0.03353266666666666,53.70666833333333,53.68860566666666
128,50,200,2D TEXTURE,3,656.029,12.208333333333334,0.004,12.208333333333334,12.212666666666669,0.033551000000000004,53.736312,53.71773866666666
128,50,200,2D TEXTURE + CONSTANT,3,656.029,11.834333333333333,0.011333333333333334,11.834333333333333,11.845666666666666,0.034611666666666666,55.43475766666666,55.381261333333335
128,50,200,REALISTIC,3,656.029,12.219333333333333,0.004,12.219333333333333,12.223333333333334,0.03352,53.68733233333333,53.66997166666667
256,5,200,OPENMP,3,639.4663333333333,639.4663333333333,0.0,639.4663333333333,639.4663333333333,0.0006403333333333334,1.0,1.0
256,5,200,GLOBAL,3,639.4663333333333,7.227666666666667,0.005,7.227666666666667,7.232333333333333,0.056671,88.47451766666666,88.41732999999999
256,5,200,CONSTANT,3,639.4663333333333,7.1290000000000004,0.011333333333333334,7.1290000000000004,7.140666666666667,0.057456,89.69946866666668,89.55296833333334
256,5,200,SHARED,3,639.4663333333333,7.232666666666667,0.011666666666666667,7.232666666666667,7.2443333333333335,0.056633333333333334,88.41577433333333,88.27314533333333
256,5,200,1D TEXTURE,3,639.4663333333333,7.194333333333333,0.004,7.194333333333333,7.198333333333334,0.056933000000000004,88.88346366666667,88.83399233333334
256,5,200,2D TEXTURE,3,639.4663333333333,7.182666666666667,0.005,7.182666666666667,7.187666666666668,0.05702633333333334,89.02923366666666,88.96732766666666
256,5,200,2D TEXTURE + CONSTANT,3,639.4663333333333,7.128333333333333,0.012333333333333333,7.128333333333333,7.140999999999999,0.05746066666666666,89.70777700000001,89.55039066666666
256,5,200,REALISTIC,3,639.4663333333333,7.206333333333333,0.005,7.206333333333333,7.211333333333333,0.05683933333333333,88.73754733333332,88.67684633333333
256,10,200,OPENMP,3,651.7726666666666,651.7726666666666,0.0,651.7726666666666,651.7726666666666,0.0006283333333333333,1.0,1.0
256,10,200,GLOBAL,3,651.7726666666666,10.434,0.006666666666666667,10.434,10.440666666666667,0.039256,62.46578733333333,62.42806433333334
256,10,200,CONSTANT,3,651.7726666666666,10.015333333333333,0.012999999999999998,10.015333333333333,10.028666666666666,0.040897666666666666,65.07797433333333,64.99357366666668
256,10,200,SHARED,3,651.7726666666666,10.126666666666667,0.012999999999999998,10.126666666666667,10.14,0.040446333333333334,64.359676,64.27718
256,10,200,1D TEXTURE,3,651.7726666666666,10.386666666666667,0.004,10.386666666666667,10.390666666666666,0.03943566666666667,62.75153399999999,62.726768
256,10,200,2D TEXTURE,3,651.7726666666666,10.37,0.004,10.37,10.374333333333333,0.039499,62.85224433333334,62.826365333333335
256,10,200,2D TEXTURE + CONSTANT,3,651.7726666666666,9.996333333333334,0.011000000000000001,9.996333333333334,10.007,0.04097566666666667,65.20230466666668,65.13016700000001
256,10,200,REALISTIC,3,651.7726666666666,10.405666666666667,0.004,10.405666666666667,10.409999999999998,0.039362666666666664,62.635747333333335,62.61002833333333
256,25,200,OPENMP,3,655.785,655.785,0.0,655.785,655.785,0.0006246666666666667,1.0,1.0
256,25,200,GLOBAL,3,655.785,12.847,0.005,12.847,12.851333333333335,0.031883666666666664,51.046652333333334,51.02810433333334
256,25,200,CONSTANT,3,655.785,11.911666666666667,0.010666666666666666,11.911666666666667,11.922333333333334,0.034386,55.05335133333333,55.00465833333334
256,25,200,SHARED,3,655.785,12.021,0.010666666666666666,12.021,12.031333333333334,0.03407366666666667,54.55279733333333,54.50497433333334
256,25,200,1D TEXTURE,3,655.785,12.767666666666665,0.004,12.767666666666665,12.771666666666667,0.032081,51.362580333333334,51.34618666666666
256,25,200,2D TEXTURE,3,655.785,12.756333333333336,0.007,12.756333333333336,12.763333333333334,0.03210966666666667,51.40877966666667,51.379828333333336
256,25,200,2D TEXTURE + CONSTANT,3,655.785,11.909666666666666,0.01333333333333333,11.909666666666666,11.923000000000002,0.034392,55.063087333333335,55.00105
256,25,200,REALISTIC,3,655.785,12.79,0.007,12.79,12.796999999999999,0.03202533333333333,51.273519,51.245734
256,50,50,OPENMP,3,187.77866666666668,187.77866666666668,0.0,187.77866666666668,187.77866666666668,0.0021813333333333333,1.0,1.0
256,50,50,GLOBAL,3,187.77866666666668,3.829333333333333,0.005666666666666667,3.829333333333333,3.8349999999999995,0.10696333333333334,49.036695,48.967716333333335
256,50,50,CONSTANT,3,187.77866666666668,3.572333333333333,0.010666666666666666,3.572333333333333,3.583,0.114662,52.566060333333326,52.40810833333333
256,50,50,SHARED,3,187.77866666666668,3.6186666666666674,0.010666666666666666,3.6186666666666674,3.6296666666666666,0.11318833333333334,51.89040233333333,51.73646933333333
256,50,50,1D TEXTURE,3,187.77866666666668,3.7703333333333333,0.004,3.7703333333333333,3.7743333333333333,0.10864166666666668,49.80618433333333,49.75474
256,50,50,2D TEXTURE,3,187.77866666666668,3.7616666666666667,0.004,3.7616666666666667,3.766,0.10888633333333332,49.91848133333334,49.863025666666665
256,50,50,2D TEXTURE + CONSTANT,3,187.77866666666668,3.5673333333333335,0.01,3.5673333333333335,3.5773333333333333,0.11482300000000001,52.640253,52.49428266666666
256,50,50,REALISTIC,3,187.77866666666668,3.763,0.004,3.763,3.766666666666667,0.10885666666666667,49.90488366666667,49.85299966666667
256,50,100,OPENMP,3,352.1783333333333,352.1783333333333,0.0,352.1783333333333,352.1783333333333,0.0011633333333333333,1.0,1.0
256,50,100,GLOBAL,3,352.1783333333333,7.663333333333334,0.007333333333333333,7.663333333333334,7.6706666666666665,0.053449,45.95615166666667,45.91226833333334
256,50,100,CONSTANT,3,352.1783333333333,7.105,0.014333333333333332,7.105,7.119,0.05765033333333333,49.568143666666664,49.46990099999999
256,50,100,SHARED,3,352.1783333333333,7.164000000000001,0.014333333333333332,7.164000000000001,7.177666666666667,0.05717633333333333,49.160232666666666,49.063614333333334
256,50,100,1D TEXTURE,3,352.1783333333333,7.601666666666667,0.004,7.601666666666667,7.605666666666667,0.05388233333333333,46.329893999999996,46.304883
256,50,100,2D TEXTURE,3,352.1783333333333,7.609999999999999,0.004,7.609999999999999,7.614,0.053823666666666665,46.27784033333333,46.253838
256,50,100,2D TEXTURE + CONSTANT,3,352.1783333333333,7.107333333333334,0.011666666666666667,7.107333333333334,7.118666666666667,0.057632333333333334,49.552459999999996,49.47338933333333
256,50,100,REALISTIC,3,352.1783333333333,7.602,0.004,7.602,7.6063333333333345,0.053878333333333334,46.32624166666667,46.300700000000006
256,50,200,OPENMP,9,656.1284444444444,656.1284444444444,0.0,656.1284444444444,656.1284444444444,0.0006243333333333334,1.0,1.0
