round,loss,train_acc
1,0.011278,99.8036
2,0.0093396,99.9873
3,0.00839366,99.9937
4,0.00777198,100
5,0.0114661,99.9683
6,0.0110768,99.9894
7,0.0109524,99.9683
8,0.0108816,99.9578
9,0.0109143,99.9472
10,0.0106202,99.9472
11,0.0108779,99.9366
12,0.0108385,99.9366
13,0.0106354,99.9366
14,0.0109652,99.8944
15,0.0108812,99.8839
16,0.0109096,99.8839
17,0.0112292,99.8733
18,0.0109076,99.8839
19,0.0110775,99.8627
20,0.0110511,99.8944
21,0.0112708,99.8733
22,0.0112522,99.8627
23,0.0110961,99.8416
24,0.010771,99.8733
25,0.0114411,99.8416
26,0.0114411,99.8416
27,0.0110493,99.8627
28,0.0110355,99.8416
29,0.0112885,99.8522
30,0.0112941,99.8627
31,0.0107859,99.8522
32,0.0111281,99.8839
33,0.0111218,99.8311
34,0.0111751,99.8627
35,0.0111141,99.8627
36,0.0114056,99.8205
37,0.0108816,99.8416
38,0.0111012,99.8733
39,0.0111293,99.8311
40,0.0114253,99.8311
41,0.0114934,99.8311
42,0.0111438,99.8733
43,0.011017,99.8733
44,0.0114569,99.8205
45,0.0112261,99.8416
46,0.0111112,99.8733
47,0.0112094,99.8099
48,0.0111186,99.8416
49,0.0111268,99.8522
50,0.0114292,99.8627
51,0.0111103,99.8311
52,0.011156,99.8416
