epoch,train_loss,train_acc,test_acc
1,0.0317894,99.2667,59.63
2,0.0294557,99.3993,66.2
3,0.0278674,99.4467,69.71
4,0.0266904,99.4697,71.94
5,0.0337505,99.36,73.69
6,0.032926,99.3867,75.21
7,0.0322112,99.3989,76.42
8,0.0316322,99.4039,77.5
9,0.0310394,99.42,78.62
10,0.0306855,99.4139,79.39
11,0.0303583,99.4233,80.05
12,0.0299743,99.4356,80.7
13,0.0297495,99.4161,81.34
14,0.0294634,99.4278,81.78
15,0.0292614,99.4411,82.29
16,0.029025,99.4289,82.63
17,0.02891,99.4317,82.82
18,0.0287046,99.4239,83.27
19,0.0285613,99.4328,83.37
20,0.0283735,99.4233,83.55
21,0.0282186,99.435,83.82
22,0.0281919,99.4483,84.21
23,0.0280539,99.4183,84.39
24,0.0278668,99.4394,84.53
25,0.0278215,99.4372,84.61
26,0.0276605,99.4456,84.75
27,0.0275675,99.44,84.87
28,0.0275911,99.4344,84.98
29,0.0274109,99.4478,84.96
30,0.0274219,99.4317,85.09
31,0.0271642,99.4644,85.19
32,0.0272561,99.4533,85.25
33,0.0271911,99.4528,85.35
34,0.0271371,99.4456,85.41
35,0.0270083,99.445,85.51
36,0.0269566,99.4378,85.61
37,0.0267929,99.4533,85.73
38,0.0268243,99.4383,85.76
39,0.0268274,99.44,85.7
40,0.0268222,99.4433,85.81
41,0.0264318,99.4578,85.9
42,0.0266546,99.4483,85.92
43,0.0265528,99.4583,85.97
44,0.0264998,99.4422,86.05
45,0.0264078,99.4556,86.17
46,0.0263873,99.4517,86.23
47,0.0263545,99.45,86.3
48,0.026228,99.4556,86.24
49,0.0261466,99.4706,86.38
50,0.026086,99.4578,86.34
51,0.026186,99.4611,86.33
52,0.0261573,99.4567,86.39
