round,loss,train_acc
1,0.0122752,99.8163
2,0.0104696,99.9747
3,0.00957604,99.9873
4,0.00912693,99.9937
5,0.0138075,99.9683
6,0.0137144,99.9366
7,0.0133558,99.9472
8,0.0138717,99.8522
9,0.0138804,99.8839
10,0.0138407,99.8416
11,0.0138304,99.8627
12,0.0140307,99.8416
13,0.0137843,99.8627
14,0.0138934,99.8627
15,0.0141615,99.8311
16,0.0141228,99.8311
17,0.0142218,99.8416
18,0.0140211,99.8205
19,0.0138854,99.8311
20,0.0142193,99.8311
21,0.0141691,99.8311
22,0.0144218,99.8416
23,0.014533,99.7888
24,0.0148042,99.7888
25,0.0143945,99.7783
26,0.0146014,99.7994
27,0.0146072,99.8099
28,0.0144335,99.7994
29,0.0147584,99.8099
30,0.0145436,99.8416
31,0.0149341,99.7994
32,0.0150595,99.7677
33,0.0151071,99.7888
34,0.0154773,99.8099
35,0.0150916,99.8311
36,0.0149093,99.7783
37,0.0146993,99.8205
38,0.0147487,99.7888
39,0.0152135,99.7255
40,0.0148904,99.7783
41,0.0149564,99.7888
42,0.0150759,99.7677
43,0.0154967,99.7572
44,0.0152665,99.7677
45,0.0151301,99.7888
46,0.0147059,99.7677
47,0.01536,99.7783
48,0.0149276,99.7572
49,0.0150241,99.7466
50,0.0146245,99.7994
51,0.0149964,99.7888
52,0.0150972,99.7783
