round,loss,train_acc
1,0.0128186,99.839
2,0.011625,99.9617
3,0.0106145,99.9923
4,0.0100702,99.9923
5,0.0146357,99.9872
6,0.0143813,99.9744
7,0.0142029,99.9105
8,0.0141494,99.9233
9,0.0144027,99.8978
10,0.0140482,99.8594
11,0.0141577,99.885
12,0.0145913,99.8722
13,0.0144738,99.8722
14,0.0147987,99.8466
15,0.0141389,99.8594
16,0.0141481,99.8466
17,0.014599,99.8083
18,0.0143862,99.8211
19,0.0143564,99.7955
20,0.0147102,99.7699
21,0.0145991,99.7827
22,0.0146103,99.7444
23,0.0144352,99.7699
24,0.0148312,99.7827
25,0.0146486,99.7955
26,0.0141816,99.7955
27,0.0144796,99.7699
28,0.0150941,99.7572
29,0.0146134,99.7699
30,0.0149291,99.7572
31,0.0144781,99.7699
32,0.0149109,99.7572
33,0.0148073,99.7444
34,0.01496,99.706
35,0.0144977,99.7188
36,0.0149749,99.7188
37,0.0147383,99.7572
38,0.0147432,99.7316
39,0.0149632,99.7188
40,0.0150176,99.7444
41,0.0153005,99.7699
42,0.0152643,99.7316
43,0.0146524,99.7572
44,0.0152041,99.7572
45,0.0149574,99.7444
46,0.0150408,99.7444
47,0.0155117,99.7188
48,0.0147455,99.7699
49,0.0153307,99.7188
50,0.0148957,99.7316
