epoch,train_loss,train_acc,test_acc
1,0.0337889,99.2227,57.73
2,0.031343,99.3797,74.31
3,0.0295161,99.4673,79.63
4,0.0283368,99.498,82.38
5,0.0362353,99.4256,83.84
6,0.0353082,99.4467,84.65
7,0.0345305,99.4444,85.26
8,0.0338599,99.4467,85.82
9,0.0333552,99.4567,86.25
10,0.0327429,99.4533,86.56
11,0.0324205,99.46,86.87
12,0.0322426,99.4589,87.06
13,0.0318236,99.4578,87.32
14,0.0315096,99.4589,87.59
15,0.0312709,99.4667,87.75
16,0.0309991,99.4578,87.94
17,0.0309859,99.4567,87.94
18,0.0307561,99.4517,88.04
19,0.030608,99.4522,88.14
20,0.0303685,99.4511,88.32
21,0.0302923,99.4644,88.31
22,0.0300974,99.4506,88.43
23,0.0299994,99.4661,88.54
24,0.03004,99.4439,88.67
25,0.0298326,99.4656,88.71
26,0.0295447,99.4528,88.79
27,0.0295973,99.4583,88.85
28,0.0295122,99.4489,88.85
29,0.0294404,99.4611,88.9
30,0.0294116,99.4478,88.92
31,0.0292018,99.4606,88.96
32,0.0291549,99.4556,88.98
33,0.0290688,99.4556,88.97
34,0.0289674,99.4544,89.01
35,0.0289175,99.4533,89.06
36,0.0288454,99.4556,89.09
37,0.0287138,99.4511,89.11
38,0.0286418,99.4533,89.11
39,0.0287499,99.4517,89.18
40,0.0286339,99.4539,89.17
41,0.0285913,99.4578,89.25
42,0.0285738,99.4467,89.25
43,0.0284618,99.4528,89.29
44,0.0283712,99.4528,89.32
45,0.0283188,99.465,89.36
46,0.0283789,99.4522,89.37
47,0.0282435,99.46,89.38
48,0.0281533,99.4589,89.31
49,0.0281572,99.4656,89.36
50,0.0281475,99.4522,89.37
