date_time,max_spheres,ray_depth,num_spheres,block_size,implementation,openmp_time_s,kernel_time_s,memory_transfer_time_s,total_without_mem_s,total_with_mem_s,throughput_mpixels_sec,speedup_vs_openmp_kernel,speedup_vs_openmp_with_mem
2026-05-14_10-56-32,512,50,200,256,2D TEXTURE,656.028,13.403,0.004,13.403,13.407,0.030559,48.944922,48.930556
2026-05-14_10-56-32,512,50,200,256,2D TEXTURE + CONSTANT,656.028,12.352,0.013,12.352,12.365,0.033161,53.111682,53.054592
2026-05-14_10-56-32,512,50,200,256,REALISTIC,656.028,13.369,0.004,13.369,13.374,0.030637,49.069158,49.053749
2026-05-14_11-09-00,512,50,200,512,OPENMP,656.563,656.563,0.000,656.563,656.563,0.000624,1.000000,1.000000
2026-05-14_11-09-00,512,50,200,512,GLOBAL,656.563,15.307,0.005,15.307,15.311,0.026760,42.894185,42.881058
2026-05-14_11-09-00,512,50,200,512,CONSTANT,656.563,14.099,0.010,14.099,14.109,0.029052,46.567780,46.535708
2026-05-14_11-09-00,512,50,200,512,SHARED,656.563,14.100,0.010,14.100,14.110,0.029049,46.563267,46.531204
2026-05-14_11-09-00,512,50,200,512,1D TEXTURE,656.563,15.243,0.004,15.243,15.247,0.026872,43.074016,43.062428
2026-05-14_11-09-00,512,50,200,512,2D TEXTURE,656.563,15.252,0.004,15.252,15.256,0.026856,43.048846,43.036972
2026-05-14_11-09-00,512,50,200,512,2D TEXTURE + CONSTANT,656.563,14.108,0.009,14.108,14.117,0.029033,46.538690,46.507886
2026-05-14_11-09-00,512,50,200,512,REALISTIC,656.563,15.283,0.004,15.283,15.288,0.026800,42.959239,42.947412
2026-05-14_11-21-41,512,50,200,512,OPENMP,656.221,656.221,0.000,656.221,656.221,0.000624,1.000000,1.000000
2026-05-14_11-21-41,512,50,200,512,GLOBAL,656.221,15.305,0.005,15.305,15.310,0.026762,42.875055,42.861909
2026-05-14_11-21-41,512,50,200,512,CONSTANT,656.221,14.088,0.010,14.088,14.098,0.029074,46.579535,46.546441
2026-05-14_11-21-41,512,50,200,512,SHARED,656.221,14.117,0.010,14.117,14.127,0.029015,46.484411,46.451432
2026-05-14_11-21-41,512,50,200,512,1D TEXTURE,656.221,15.270,0.004,15.270,15.274,0.026824,42.975434,42.963881
2026-05-14_11-21-41,512,50,200,512,2D TEXTURE,656.221,15.255,0.005,15.255,15.260,0.026850,43.015711,43.002862
2026-05-14_11-21-41,512,50,200,512,2D TEXTURE + CONSTANT,656.221,14.079,0.010,14.079,14.090,0.029092,46.609060,46.575172
2026-05-14_11-21-41,512,50,200,512,REALISTIC,656.221,15.267,0.004,15.267,15.271,0.026829,42.983149,42.971051
2026-05-14_11-34-22,512,50,200,512,OPENMP,656.342,656.342,0.000,656.342,656.342,0.000624,1.000000,1.000000
2026-05-14_11-34-22,512,50,200,512,GLOBAL,656.342,15.313,0.005,15.313,15.318,0.026749,42.862374,42.849020
2026-05-14_11-34-22,512,50,200,512,CONSTANT,656.342,14.096,0.011,14.096,14.107,0.029058,46.562823,46.525942
2026-05-14_11-34-22,512,50,200,512,SHARED,656.342,14.108,0.011,14.108,14.119,0.029034,46.523456,46.486743
2026-05-14_11-34-22,512,50,200,512,1D TEXTURE,656.342,15.255,0.004,15.255,15.259,0.026851,43.025466,43.013552
2026-05-14_11-34-22,512,50,200,512,2D TEXTURE,656.342,15.247,0.004,15.247,15.251,0.026865,43.048595,43.036478
2026-05-14_11-34-22,512,50,200,512,2D TEXTURE + CONSTANT,656.342,14.087,0.011,14.087,14.098,0.029076,46.591155,46.555561
2026-05-14_11-34-22,512,50,200,512,REALISTIC,656.342,15.292,0.004,15.292,15.297,0.026784,42.919379,42.907335
2026-05-14_11-47-03,512,50,200,1024,OPENMP,656.741,656.741,0.000,656.741,656.741,0.000624,1.000000,1.000000
2026-05-14_11-47-03,512,50,200,1024,GLOBAL,656.741,0.000,0.005,0.000,0.005,6776.072289,10864561.028971,138505.257903
2026-05-14_11-47-03,512,50,200,1024,CONSTANT,656.741,0.000,0.009,0.000,0.009,5053.296401,8102311.310904,71322.863079
2026-05-14_11-47-03,512,50,200,1024,SHARED,656.741,0.000,0.009,0.000,0.009,3588.449656,5753617.822139,70854.281235
2026-05-14_11-47-03,512,50,200,1024,1D TEXTURE,656.741,0.000,0.004,0.000,0.004,4953.560452,7942397.534537,164119.599748
2026-05-14_11-47-03,512,50,200,1024,2D TEXTURE,656.741,0.000,0.004,0.000,0.004,4453.722919,7140972.291102,157110.245913
2026-05-14_11-47-03,512,50,200,1024,2D TEXTURE + CONSTANT,656.741,0.000,0.009,0.000,0.009,4020.100529,6445714.519346,70930.195873
2026-05-14_11-47-03,512,50,200,1024,REALISTIC,656.741,0.000,0.004,0.000,0.004,3441.785421,5518460.571144,153662.428520
2026-05-14_11-58-01,512,50,200,1024,OPENMP,656.298,656.298,0.000,656.298,656.298,0.000624,1.000000,1.000000
2026-05-14_11-58-01,512,50,200,1024,GLOBAL,656.298,0.000,0.005,0.000,0.005,7407.407282,11868818.381856,139697.828642
