date_time,max_spheres,ray_depth,num_spheres,block_size,implementation,openmp_time_s,kernel_time_s,memory_transfer_time_s,total_without_mem_s,total_with_mem_s,throughput_mpixels_sec,speedup_vs_openmp_kernel,speedup_vs_openmp_with_mem
2026-05-15_10-41-56,512,75,200,256,GLOBAL,655.433,13.613,0.005,13.613,13.618,0.030089,48.147367,48.130774
2026-05-15_10-41-56,512,75,200,256,CONSTANT,655.433,12.492,0.011,12.492,12.503,0.032789,52.467826,52.423587
2026-05-15_10-41-56,512,75,200,256,SHARED,655.433,12.625,0.011,12.625,12.636,0.032443,51.913879,51.870414
2026-05-15_10-41-56,512,75,200,256,1D TEXTURE,655.433,13.548,0.004,13.548,13.552,0.030234,48.379774,48.365098
2026-05-15_10-41-56,512,75,200,256,2D TEXTURE,655.433,13.575,0.007,13.575,13.582,0.030173,48.282059,48.258068
2026-05-15_10-41-56,512,75,200,256,2D TEXTURE + CONSTANT,655.433,12.544,0.013,12.544,12.558,0.032652,52.249020,52.194019
2026-05-15_10-41-56,512,75,200,256,REALISTIC,655.433,13.540,0.007,13.540,13.547,0.030251,48.407437,48.382372
2026-05-15_10-54-24,512,100,200,256,OPENMP,656.849,656.849,0.000,656.849,656.849,0.000624,1.000000,1.000000
2026-05-15_10-54-24,512,100,200,256,GLOBAL,656.849,13.627,0.005,13.627,13.632,0.030057,48.200804,48.184196
2026-05-15_10-54-24,512,100,200,256,CONSTANT,656.849,12.557,0.009,12.557,12.566,0.032619,52.309242,52.270317
2026-05-15_10-54-24,512,100,200,256,SHARED,656.849,12.649,0.009,12.649,12.659,0.032382,51.928415,51.889974
2026-05-15_10-54-24,512,100,200,256,1D TEXTURE,656.849,13.642,0.004,13.642,13.646,0.030025,48.148916,48.134451
2026-05-15_10-54-24,512,100,200,256,2D TEXTURE,656.849,13.627,0.004,13.627,13.631,0.030058,48.202801,48.188785
2026-05-15_10-54-24,512,100,200,256,2D TEXTURE + CONSTANT,656.849,12.582,0.009,12.582,12.591,0.032554,52.204979,52.166681
2026-05-15_10-54-24,512,100,200,256,REALISTIC,656.849,13.588,0.004,13.588,13.593,0.030144,48.339330,48.324332
2026-05-15_11-06-55,512,100,200,256,OPENMP,656.163,656.163,0.000,656.163,656.163,0.000624,1.000000,1.000000
2026-05-15_11-06-55,512,100,200,256,GLOBAL,656.163,13.660,0.005,13.660,13.665,0.029985,48.034378,48.017914
2026-05-15_11-06-55,512,100,200,256,CONSTANT,656.163,12.570,0.011,12.570,12.580,0.032587,52.202600,52.157290
2026-05-15_11-06-55,512,100,200,256,SHARED,656.163,12.613,0.011,12.613,12.624,0.032474,52.021784,51.976756
2026-05-15_11-06-55,512,100,200,256,1D TEXTURE,656.163,13.585,0.004,13.585,13.589,0.030152,48.302307,48.287731
2026-05-15_11-06-55,512,100,200,256,2D TEXTURE,656.163,13.581,0.004,13.581,13.585,0.030161,48.316102,48.302080
2026-05-15_11-06-55,512,100,200,256,2D TEXTURE + CONSTANT,656.163,12.541,0.011,12.541,12.552,0.032660,52.319480,52.274571
2026-05-15_11-06-55,512,100,200,256,REALISTIC,656.163,13.637,0.004,13.637,13.641,0.030037,48.117517,48.102552
2026-05-15_11-19-24,512,100,200,256,OPENMP,655.921,655.921,0.000,655.921,655.921,0.000624,1.000000,1.000000
2026-05-15_11-19-24,512,100,200,256,GLOBAL,655.921,13.686,0.005,13.686,13.691,0.029929,47.926980,47.910649
2026-05-15_11-19-24,512,100,200,256,CONSTANT,655.921,12.536,0.016,12.536,12.553,0.032674,52.322648,52.254093
2026-05-15_11-19-24,512,100,200,256,SHARED,655.921,12.630,0.016,12.630,12.646,0.032431,51.934360,51.866809
2026-05-15_11-19-24,512,100,200,256,1D TEXTURE,655.921,13.617,0.004,13.617,13.621,0.030081,48.170139,48.155683
2026-05-15_11-19-24,512,100,200,256,2D TEXTURE,655.921,13.609,0.004,13.609,13.613,0.030099,48.198937,48.184978
2026-05-15_11-19-24,512,100,200,256,2D TEXTURE + CONSTANT,655.921,12.573,0.016,12.573,12.589,0.032578,52.169129,52.101418
2026-05-15_11-19-24,512,100,200,256,REALISTIC,655.921,13.563,0.004,13.563,13.567,0.030200,48.361360,48.346409
