round,loss,train_acc
1,0.0322104,99.4172
2,0.0274809,99.6933
3,0.024832,99.8696
4,0.0231503,99.8543
5,0.0305911,99.8083
6,0.0287659,99.8083
7,0.0280836,99.8083
8,0.0268187,99.8083
9,0.0261398,99.7827
10,0.0256485,99.7572
11,0.0253443,99.8083
12,0.0249204,99.7444
13,0.0244991,99.7572
14,0.0240129,99.7188
15,0.0240893,99.7444
16,0.0233917,99.8083
17,0.0233029,99.7188
18,0.0231334,99.6805
19,0.0232076,99.7316
20,0.022709,99.7188
21,0.0232934,99.6549
22,0.022857,99.6421
23,0.0230119,99.6549
24,0.0226857,99.6421
25,0.0222912,99.6805
26,0.0224971,99.706
27,0.0217237,99.706
28,0.022037,99.6421
29,0.0219572,99.6421
30,0.0214724,99.6549
31,0.0213358,99.6293
32,0.0218792,99.6421
33,0.0216599,99.6421
34,0.0220182,99.6421
35,0.0214795,99.6166
36,0.0213987,99.6549
37,0.0216312,99.6293
38,0.0215239,99.6421
39,0.0213816,99.6293
40,0.02087,99.6805
41,0.0207181,99.6549
42,0.0212169,99.6421
43,0.0212403,99.6421
44,0.0207063,99.6421
45,0.0209698,99.706
46,0.020662,99.6166
47,0.0205008,99.6549
48,0.0207966,99.6677
49,0.0205112,99.6677
50,0.0208453,99.6549
51,0.0202736,99.6805
