epoch,train_loss,train_acc,test_acc
1,0.0383088,99.2003,45.96
2,0.0356515,99.4083,64.75
3,0.0336575,99.5247,73.78
4,0.0321545,99.5843,78.43
5,0.0442295,99.4983,80.59
6,0.0428843,99.5094,82.12
7,0.0419686,99.5361,83.17
8,0.0411365,99.5317,83.86
9,0.040469,99.5261,84.33
10,0.0399953,99.5372,84.86
11,0.0392655,99.5428,85.37
12,0.0389363,99.5444,85.78
13,0.0384047,99.5528,86.04
14,0.0383455,99.535,86.23
15,0.0379631,99.5456,86.54
16,0.0378257,99.5222,86.72
17,0.0374283,99.5383,86.92
18,0.0375042,99.5044,87.17
19,0.0371341,99.5083,87.34
20,0.0368787,99.5311,87.45
21,0.0367992,99.5094,87.58
22,0.036772,99.5139,87.72
23,0.0367412,99.4956,87.85
24,0.0363612,99.5072,87.98
25,0.0364184,99.485,88.05
26,0.0362249,99.5017,88.11
27,0.03622,99.4833,88.23
28,0.036,99.4922,88.31
29,0.0361387,99.4917,88.33
30,0.0359309,99.4789,88.44
31,0.03581,99.4794,88.47
32,0.0357731,99.4539,88.54
33,0.0356726,99.4506,88.64
34,0.0356092,99.4589,88.68
35,0.0354526,99.4722,88.74
36,0.0354983,99.4683,88.75
37,0.0355486,99.4567,88.85
38,0.0354195,99.4583,88.88
39,0.0353111,99.4683,88.9
40,0.0353318,99.4683,88.91
41,0.0351557,99.4828,88.94
42,0.0353028,99.4578,88.96
43,0.0352748,99.4289,89.04
44,0.0350946,99.4472,89.07
45,0.0351433,99.4406,89.13
46,0.0351782,99.4456,89.17
47,0.0349583,99.4489,89.2
48,0.0350456,99.4428,89.21
49,0.035049,99.435,89.22
50,0.0348576,99.4389,89.28
